TRANS_ID,USER_ID,TRANS_DATE,AMOUNT
1,1,2026-09-01,51.00
2,2,2026-08-31,52.00
3,3,2026-08-30,53.00
4,4,2026-08-29,54.00
5,5,2026-08-28,55.00
6,6,2026-08-27,56.00
7,7,2026-08-26,57.00
8,8,2026-08-25,58.00
9,9,2026-08-24,59.00
10,10,2026-08-23,60.00
11,11,2026-08-22,61.00
12,12,2026-08-21,62.00
13,13,2026-08-20,63.00
14,14,2026-08-19,64.00
15,15,2026-08-18,65.00
16,16,2026-08-17,66.00
17,17,2026-08-16,67.00
18,18,2026-08-15,68.00
19,19,2026-08-14,69.00
20,20,2026-08-13,70.00
21,21,2026-08-12,71.00
22,22,2026-08-11,72.00
23,23,2026-08-10,73.00
24,24,2026-08-09,74.00
25,25,2026-08-08,75.00
26,26,2026-08-07,76.00
27,27,2026-08-06,77.00
28,28,2026-08-05,78.00
29,29,2026-08-04,79.00
30,30,2026-08-03,80.00
31,31,2026-08-02,81.00
32,32,2026-08-01,82.00
33,33,2026-07-31,83.00
34,34,2026-07-30,84.00
35,35,2026-07-29,85.00
36,36,2026-07-28,86.00
37,37,2026-07-27,87.00
38,38,2026-07-26,88.00
39,39,2026-07-25,89.00
40,40,2026-07-24,90.00
41,41,2026-07-23,91.00
42,42,2026-07-22,92.00
43,43,2026-07-21,93.00
44,44,2026-07-20,94.00
45,45,2026-07-19,95.00
46,46,2026-07-18,96.00
47,47,2026-07-17,97.00
48,48,2026-07-16,98.00
49,49,2026-07-15,99.00
50,50,2026-07-14,100.00
51,51,2026-07-13,101.00
52,52,2026-07-12,102.00
53,53,2026-07-11,103.00
54,54,2026-07-10,104.00
55,55,2026-07-09,105.00
56,56,2026-07-08,106.00
57,57,2026-07-07,107.00
58,58,2026-07-06,108.00
59,59,2026-07-05,109.00
60,60,2026-07-04,110.00
61,61,2026-07-03,111.00
62,62,2026-07-02,112.00
63,63,2026-07-01,113.00
64,64,2026-06-30,114.00
65,65,2026-06-29,115.00
66,66,2026-06-28,116.00
67,67,2026-06-27,117.00
68,68,2026-06-26,118.00
69,69,2026-06-25,119.00
70,70,2026-06-24,120.00
71,71,2026-06-23,121.00
72,72,2026-06-22,122.00
73,73,2026-06-21,123.00
74,74,2026-06-20,124.00
75,75,2026-06-19,125.00
76,76,2026-06-18,126.00
77,77,2026-06-17,127.00
78,78,2026-06-16,128.00
79,79,2026-06-15,129.00
80,80,2026-06-14,130.00
81,81,2026-06-13,131.00
82,82,2026-06-12,132.00
83,83,2026-06-11,133.00
84,84,2026-06-10,134.00
85,85,2026-06-09,135.00
86,86,2026-06-08,136.00
87,87,2026-06-07,137.00
88,88,2026-06-06,138.00
89,89,2026-06-05,139.00
90,90,2026-06-04,140.00
91,91,2026-06-03,141.00
92,92,2026-06-02,142.00
