ID,T1_ID,NAME,SCORE
1,2,"detail1",1
2,3,"detail2",2
3,4,"detail3",3
4,5,"detail4",4
5,6,"detail5",5
6,7,"detail6",6
7,8,"detail7",7
8,9,"detail8",8
9,10,"detail9",9
10,11,"detail10",0
11,12,"detail11",1
12,13,"detail12",2
13,14,"detail13",3
14,15,"detail14",4
15,16,"detail15",5
16,17,"detail16",6
17,18,"detail17",7
18,19,"detail18",8
19,20,"detail19",9
20,21,"detail20",0
21,22,"detail21",1
22,23,"detail22",2
23,24,"detail23",3
24,25,"detail24",4
25,26,"detail25",5
26,27,"detail26",6
27,28,"detail27",7
28,29,"detail28",8
29,30,"detail29",9
30,31,"detail30",0
31,32,"detail31",1
32,33,"detail32",2
33,34,"detail33",3
34,35,"detail34",4
35,36,"detail35",5
36,37,"detail36",6
37,38,"detail37",7
38,39,"detail38",8
39,40,"detail39",9
40,41,"detail40",0
41,42,"detail41",1
42,43,"detail42",2
43,44,"detail43",3
44,45,"detail44",4
45,46,"detail45",5
46,47,"detail46",6
47,48,"detail47",7
48,49,"detail48",8
49,50,"detail49",9
50,51,"detail50",0
51,52,"detail51",1
52,53,"detail52",2
53,54,"detail53",3
54,55,"detail54",4
55,56,"detail55",5
56,57,"detail56",6
57,58,"detail57",7
58,59,"detail58",8
59,60,"detail59",9
60,61,"detail60",0
61,62,"detail61",1
62,63,"detail62",2
63,64,"detail63",3
64,65,"detail64",4
65,66,"detail65",5
66,67,"detail66",6
67,68,"detail67",7
68,69,"detail68",8
69,70,"detail69",9
70,71,"detail70",0
71,72,"detail71",1
72,73,"detail72",2
73,74,"detail73",3
74,75,"detail74",4
75,76,"detail75",5
76,77,"detail76",6
77,78,"detail77",7
78,79,"detail78",8
79,80,"detail79",9
80,81,"detail80",0
81,82,"detail81",1
82,83,"detail82",2
83,84,"detail83",3
84,85,"detail84",4
85,86,"detail85",5
86,87,"detail86",6
87,88,"detail87",7
88,89,"detail88",8
89,90,"detail89",9
90,91,"detail90",0
91,92,"detail91",1
92,93,"detail92",2
93,94,"detail93",3
94,95,"detail94",4
95,96,"detail95",5
96,97,"detail96",6
97,98,"detail97",7
98,99,"detail98",8
99,100,"detail99",9
100,1,"detail100",0
101,2,"detail101",1
102,3,"detail102",2
103,4,"detail103",3
104,5,"detail104",4
105,6,"detail105",5
106,7,"detail106",6
107,8,"detail107",7
108,9,"detail108",8
109,10,"detail109",9
110,11,"detail110",0
111,12,"detail111",1
112,13,"detail112",2
113,14,"detail113",3
114,15,"detail114",4
115,16,"detail115",5
116,17,"detail116",6
117,18,"detail117",7
118,19,"detail118",8
119,20,"detail119",9
120,21,"detail120",0
121,22,"detail121",1
122,23,"detail122",2
123,24,"detail123",3
124,25,"detail124",4
125,26,"detail125",5
126,27,"detail126",6
127,28,"detail127",7
128,29,"detail128",8
129,30,"detail129",9
130,31,"detail130",0
131,32,"detail131",1
132,33,"detail132",2
133,34,"detail133",3
134,35,"detail134",4
135,36,"detail135",5
136,37,"detail136",6
137,38,"detail137",7
138,39,"detail138",8
139,40,"detail139",9
140,41,"detail140",0
141,42,"detail141",1
142,43,"detail142",2
143,44,"detail143",3
144,45,"detail144",4
145,46,"detail145",5
146,47,"detail146",6
147,48,"detail147",7
148,49,"detail148",8
149,50,"detail149",9
150,51,"detail150",0
151,52,"detail151",1
152,53,"detail152",2
153,54,"detail153",3
154,55,"detail154",4
155,56,"detail155",5
156,57,"detail156",6
157,58,"detail157",7
158,59,"detail158",8
159,60,"detail159",9
160,61,"detail160",0
161,62,"detail161",1
162,63,"detail162",2
163,64,"detail163",3
164,65,"detail164",4
165,66,"detail165",5
166,67,"detail166",6
167,68,"detail167",7
168,69,"detail168",8
169,70,"detail169",9
170,71,"detail170",0
171,72,"detail171",1
172,73,"detail172",2
173,74,"detail173",3
174,75,"detail174",4
175,76,"detail175",5
176,77,"detail176",6
177,78,"detail177",7
178,79,"detail178",8
179,80,"detail179",9
180,81,"detail180",0
181,82,"detail181",1
182,83,"detail182",2
183,84,"detail183",3
184,85,"detail184",4
185,86,"detail185",5
186,87,"detail186",6
187,88,"detail187",7
188,89,"detail188",8
189,90,"detail189",9
190,91,"detail190",0
191,92,"detail191",1
192,93,"detail192",2
193,94,"detail193",3
194,95,"detail194",4
195,96,"detail195",5
196,97,"detail196",6
197,98,"detail197",7
198,99,"detail198",8
199,100,"detail199",9
200,1,"detail200",0
